employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
36,Christopher Moreno,26,Developer,77512.51,Omega,2021-08-27,Finance
135,Cheryl Jarvis,36,Developer,120078.81,Delta,2021-12-03,Finance
136,Christopher Turner,42,Manager,48708.93,Omega,2023-05-15,Finance
180,Andrew Morales,26,Analyst,118997.59,Gamma,2023-05-09,Finance
187,Allison Gonzales,28,Manager,135039.48,Project5,2019-12-04,Finance
241,Gloria Pugh,38,Engineer,95744.46,Project1,2019-09-06,Finance
272,Lawrence Marks,59,Developer,53865.47,Project6,2022-11-12,Finance
287,Cheryl Schneider,34,Engineer,59151.05,Alpha,2016-10-01,Finance
320,Lisa Meyer,24,Engineer,101191.27,Project2,2017-09-11,Finance
371,Heather Mckenzie,32,Engineer,45321.8,Project4,2021-02-16,Finance
387,Sandra Walker,24,Developer,113925.79,Beta,2017-10-12,Finance
398,Sabrina Schneider,54,Analyst,91125.93,Gamma,2024-08-31,Finance
479,Edwin Ramirez,38,Manager,104207.6,Project3,2022-07-16,Finance
525,Margaret Hooper,57,Consultant,67413.74,Alpha,2021-04-12,Finance
583,Melvin Morris,36,Engineer,40735.2,Project6,2022-04-23,Finance
660,Kevin Gay,22,Developer,67519.45,Project6,2024-03-17,Finance
716,Alison Carr,59,Consultant,93287.43,Project5,2021-02-26,Finance
723,Donald Thomas,48,Analyst,65870.8,Project2,2023-04-11,Finance
748,Melissa Richard,38,Manager,98397.27,Gamma,2022-04-01,Finance
751,Kelly Kim,50,Engineer,48236.37,Project2,2018-08-29,Finance
754,Zachary Sutton,42,Consultant,68187.86,Alpha,2017-08-06,Finance
764,Chad Massey,23,Manager,45001.13,Project2,2024-01-31,Finance
787,Sabrina Blair,41,Engineer,132430.71,Alpha,2017-11-26,Finance
822,Andrew Smith,52,Analyst,69637.15,Project2,2023-05-22,Finance
872,William Roberts,28,Engineer,42376.5,Project1,2021-06-19,Finance
873,Steven Cantrell,34,Analyst,127787.49,Project3,2021-07-26,Finance
892,Joseph Gonzalez,36,Analyst,94213.38,Project4,2020-05-29,Finance
905,Cindy Lane,29,Analyst,58465.09,Project2,2017-09-07,Finance
976,Lisa Walter,41,Developer,48672.56,Project2,2021-02-06,Finance
993,Paul Berry,34,Analyst,141969.9,Gamma,2021-07-13,Finance
13,Kimberly Garcia,44,Manager,147164.67,Project1,2017-12-28,HR
62,Emily Torres,42,Developer,142146.39,Project3,2017-09-07,HR
156,Hannah Kerr,53,Consultant,95763.93,Omega,2018-02-09,HR
213,Travis Thornton,52,Engineer,71415.71,Alpha,2017-08-16,HR
219,Lauren Carter,56,Engineer,46758.16,Project1,2016-10-13,HR
222,Anthony Hess,53,Engineer,67442.81,Omega,2020-03-05,HR
292,Maria Smith,58,Manager,80259.98,Project5,2018-04-13,HR
311,Mr. Michael Sherman,30,Manager,46145.45,Omega,2022-08-13,HR
362,Craig Walker,51,Manager,142744.93,Gamma,2020-07-30,HR
363,Jesse Clarke,31,Manager,71328.88,Omega,2021-08-06,HR
367,Joseph Frank,50,Engineer,116199.27,Project5,2025-01-01,HR
426,Connie Patton,46,Manager,141357.09,Project3,2016-06-23,HR
428,Carmen Hensley,53,Engineer,64276.34,Project6,2020-05-29,HR
467,Matthew Stuart,23,Consultant,93976.34,Alpha,2020-11-09,HR
473,Gabriel Singh,52,Engineer,109523.35,Project3,2023-03-12,HR
488,Michael Ortega,27,Engineer,135928.25,Alpha,2022-10-24,HR
537,Michelle Williams,47,Consultant,56811.01,Project4,2024-12-25,HR
590,Donna Ryan,30,Consultant,56031.88,Delta,2016-10-18,HR
611,Ian Hill,60,Consultant,57160.45,Project3,2022-04-26,HR
670,Ryan Campbell,45,Consultant,63543.12,Omega,2019-09-01,HR
717,Valerie Hooper,34,Developer,149178.56,Alpha,2020-08-30,HR
719,Chase Briggs,51,Consultant,140814.92,Omega,2018-10-27,HR
766,Christopher Cook,35,Analyst,128796.69,Gamma,2018-02-08,HR
829,Kimberly Roach,51,Manager,113675.82,Project4,2017-07-11,HR
853,Sara Mcdonald,29,Analyst,146409.31,Omega,2023-10-13,HR
860,Christina Riley,54,Consultant,115864.48,Project1,2023-05-05,HR
910,Diane Morris,53,Developer,121822.83,Project2,2021-09-03,HR
932,John Morris,52,Engineer,50543.82,Omega,2016-08-31,HR
934,Diana Molina,36,Consultant,58635.34,Omega,2016-01-25,HR
963,Joseph Leonard,34,Manager,76510.88,Delta,2017-11-10,HR
964,Emma Knight,34,Analyst,139469.83,Project2,2021-11-10,HR
985,Judy Reed,23,Analyst,67167.44,Project5,2017-10-29,HR
28,Mary Burke MD,52,Analyst,127085.1,Omega,2022-01-18,IT
33,Peter Hernandez,38,Consultant,111976.16,Project5,2022-03-10,IT
115,Joseph Webb,29,Consultant,119103.53,Project4,2016-09-27,IT
118,Ryan Perkins,57,Consultant,40111.09,Alpha,2024-02-28,IT
157,William Morrison,29,Analyst,107373.21,Delta,2024-07-19,IT
177,Catherine Lopez,58,Developer,107747.27,Beta,2017-08-10,IT
217,Adam Turner,30,Developer,98820.4,Omega,2021-05-04,IT
252,Catherine Kim,52,Engineer,113457.52,Project1,2021-03-15,IT
273,Danielle Jordan,25,Consultant,42935.68,Project2,2016-12-26,IT
302,Angela Henry,37,Manager,120773.07,Alpha,2024-09-07,IT
333,Matthew Farmer,54,Manager,79732.94,Project2,2020-05-08,IT
376,Ronald Vasquez,35,Engineer,138553.52,Delta,2020-01-02,IT
401,Anthony Anderson,36,Analyst,57299.59,Gamma,2024-03-14,IT
441,Dennis Leonard,32,Analyst,49995.04,Project5,2020-09-13,IT
485,Allen Roberts,25,Manager,114929.36,Beta,2018-01-25,IT
546,Evan Key,46,Developer,69548.0,Beta,2019-04-16,IT
629,Reginald Stewart,32,Engineer,138164.92,Alpha,2019-08-09,IT
634,Dr. Christopher Sanchez,30,Developer,113227.88,Project6,2021-09-25,IT
700,Christopher Ramos,57,Engineer,51874.03,Project4,2017-03-16,IT
726,Dylan Smith,37,Analyst,132396.67,Project2,2018-12-02,IT
749,Christina Johnson,29,Analyst,86954.0,Project4,2018-12-08,IT
759,Terri Kennedy,34,Engineer,48178.6,Alpha,2023-09-25,IT
845,William Graves,60,Manager,77705.03,Omega,2024-07-29,IT
877,Monica Thomas,40,Manager,139206.24,Project1,2020-11-26,IT
904,Jesse Mendoza,60,Analyst,41781.47,Alpha,2024-06-26,IT
938,Amy Hooper MD,50,Engineer,132584.26,Omega,2020-03-26,IT
946,Jacob Smith,54,Manager,88712.42,Project5,2017-09-26,IT
961,Ms. Heather Huynh,49,Manager,122955.45,Project3,2019-07-19,IT
1,Ronald Huff,51,Analyst,134392.83,Gamma,2016-08-10,Marketing
23,Brittney Moore,39,Consultant,124649.16,Project5,2016-05-30,Marketing
25,Daniel Martinez,56,Consultant,57907.98,Project6,2018-12-17,Marketing
37,Michael Pineda MD,60,Developer,106322.68,Beta,2019-05-07,Marketing
100,Nancy Johnson,48,Consultant,143957.99,Alpha,2018-02-19,Marketing
155,Jesse Richards,48,Consultant,63239.26,Project1,2021-06-15,Marketing
185,Kelly Ramirez,26,Engineer,42325.14,Project5,2020-07-26,Marketing
230,Julie Jimenez,40,Consultant,100878.86,Alpha,2020-01-12,Marketing
253,Joseph Reyes,26,Consultant,123305.76,Omega,2016-07-18,Marketing
261,Michelle Marsh,57,Developer,111151.93,Alpha,2020-04-05,Marketing
322,Mary Douglas,33,Manager,96066.39,Project2,2023-08-07,Marketing
336,William Kent,38,Analyst,100299.73,Alpha,2021-03-09,Marketing
346,Claire Blake,41,Engineer,128066.99,Project6,2020-10-29,Marketing
430,Mathew Edwards,24,Analyst,98146.05,Project5,2016-03-08,Marketing
451,Andres Duncan,55,Developer,123169.18,Project5,2016-06-28,Marketing
462,Jonathan Anderson,30,Consultant,108728.34,Project6,2020-01-29,Marketing
515,Michelle Hall,32,Engineer,87072.32,Project4,2024-02-06,Marketing
531,Christina Hawkins,44,Analyst,60180.89,Project2,2018-07-21,Marketing
540,Dr. Ryan Smith,48,Developer,65079.62,Project6,2018-04-29,Marketing
558,Jamie Bryant,60,Manager,99480.22,Project1,2020-09-01,Marketing
562,Michael Davidson,32,Consultant,74524.69,Project4,2017-05-27,Marketing
585,Donna Garner,38,Engineer,106677.4,Gamma,2023-12-12,Marketing
589,Mallory Banks,60,Analyst,67624.29,Project6,2018-07-26,Marketing
614,Traci Chapman,49,Manager,115245.8,Alpha,2017-04-14,Marketing
659,Dawn Nelson,30,Consultant,61758.02,Project1,2023-07-18,Marketing
695,Daniel Boone,35,Manager,136883.95,Project5,2021-12-13,Marketing
750,Michaela Davila,24,Developer,100181.92,Beta,2017-01-10,Marketing
795,Bill Allen,43,Manager,114285.18,Project6,2021-04-24,Marketing
902,Michelle Lynch,43,Developer,94909.13,Alpha,2023-06-05,Marketing
923,Christopher Ward,59,Manager,68123.65,Gamma,2023-02-11,Marketing
30,Ashley Craig,26,Developer,47031.86,Alpha,2022-12-27,Operations
44,Derek Scott,30,Manager,104523.46,Project1,2017-12-06,Operations
46,Kelly Miller,56,Consultant,121142.92,Delta,2018-05-26,Operations
72,Chad Holmes,49,Manager,102727.87,Gamma,2019-01-06,Operations
83,Natasha Osborne,31,Engineer,52047.39,Project6,2017-03-26,Operations
129,Mary Moreno,48,Developer,66801.63,Project2,2019-07-01,Operations
165,Mark Shelton,32,Developer,63322.58,Project4,2022-08-04,Operations
