e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
22,Michael Garcia,33,Engineer,143090.07,Alpha,1991-10-19,Finance
31,Holly Contreras,39,Consultant,129355.47,Beta,1989-07-12,Finance
58,Kristin James,36,Consultant,142434.22,Gamma,2000-08-31,Finance
68,Susan Harris,46,Consultant,126322.27,Project2,1978-12-09,Finance
73,Jeffery Woods,59,Analyst,119642.46,Project1,1971-03-30,Finance
101,Timothy Wilson,47,Analyst,105615.82,Delta,1972-09-23,Finance
105,Rebecca Williams,31,Analyst,110967.62,Project5,2000-03-14,Finance
113,Robert Salazar,43,Engineer,147726.76,Gamma,1985-07-22,Finance
120,Louis Parker,22,Consultant,146528.33,Project1,1983-11-22,Finance
122,John Diaz,23,Developer,132962.99,Alpha,1985-10-03,Finance
125,Emily Shaw,34,Consultant,116383.3,Beta,2013-05-22,Finance
128,Cynthia Palmer,50,Developer,147136.81,Project2,2004-10-19,Finance
135,Cheryl Jarvis,36,Developer,120078.81,Delta,2021-12-03,Finance
140,Bonnie Mcintosh,53,Analyst,129760.07,Project1,1974-04-23,Finance
150,Jessica Padilla,49,Manager,131248.96,Omega,1977-06-17,Finance
180,Andrew Morales,26,Analyst,118997.59,Gamma,2023-05-09,Finance
181,Courtney Bailey,38,Manager,131183.38,Omega,2000-10-25,Finance
184,Jennifer Nguyen,28,Developer,124135.74,Alpha,1976-02-05,Finance
186,Charles Garza,24,Consultant,103555.68,Gamma,1999-10-12,Finance
187,Allison Gonzales,28,Manager,135039.48,Project5,2019-12-04,Finance
200,Jared Sanders,41,Consultant,102471.35,Delta,1981-05-01,Finance
201,David Hernandez,37,Consultant,119379.77,Omega,1996-12-13,Finance
203,Donna Gomez,25,Developer,97989.06,Project1,2009-05-21,Finance
204,Dawn Hansen,35,Engineer,113337.49,Project4,1988-01-30,Finance
241,Gloria Pugh,38,Engineer,95744.46,Project1,2019-09-06,Finance
250,Harold Andrews,24,Engineer,109614.99,Delta,2001-11-27,Finance
251,Kathleen Woodard,52,Developer,118760.72,Project1,2002-10-13,Finance
275,Sara Douglas,31,Manager,116806.39,Beta,1988-02-07,Finance
276,Jessica Gonzalez,23,Manager,144279.29,Project5,1991-06-29,Finance
279,Francisco Cook,30,Manager,111625.76,Project5,1973-01-10,Finance
289,Roberto Henry PhD,48,Developer,98883.28,Alpha,1978-11-11,Finance
320,Lisa Meyer,24,Engineer,101191.27,Project2,2017-09-11,Finance
326,Mercedes Olson,48,Engineer,109463.38,Gamma,1970-01-28,Finance
349,Brandi Martin,50,Manager,119188.42,Alpha,1983-10-17,Finance
355,Gina Ramos,59,Developer,145744.75,Project5,1983-05-09,Finance
361,Michael Hall,49,Developer,115489.38,Project1,2006-10-12,Finance
378,Teresa Manning,23,Consultant,132782.96,Omega,1971-10-22,Finance
387,Sandra Walker,24,Developer,113925.79,Beta,2017-10-12,Finance
402,Danielle Allen,46,Developer,115228.26,Project2,2010-02-26,Finance
408,Cynthia Pugh,37,Engineer,99886.03,Beta,2003-02-28,Finance
423,Paula Spears,24,Analyst,107482.48,Project3,2002-02-09,Finance
425,Kenneth Patrick,50,Analyst,99700.69,Project3,1992-06-05,Finance
444,Anita Nicholson,31,Analyst,108787.91,Gamma,1976-10-13,Finance
447,Elizabeth Gardner,29,Engineer,126782.95,Alpha,2009-03-21,Finance
448,Katie Lewis,32,Consultant,119988.77,Project6,1997-05-03,Finance
449,Jessica Lee,44,Consultant,138974.29,Delta,2015-06-03,Finance
464,Jerry Gonzalez,44,Engineer,118925.22,Project3,1996-10-11,Finance
468,James Crosby,22,Developer,104978.78,Beta,1984-09-26,Finance
472,Hunter Jones,59,Engineer,142097.83,Project4,2000-07-28,Finance
474,Dana Warner,53,Analyst,144776.87,Project3,1998-03-05,Finance
479,Edwin Ramirez,38,Manager,104207.6,Project3,2022-07-16,Finance
480,William Novak,28,Manager,123109.57,Gamma,1978-03-31,Finance
490,Gregory Green,50,Engineer,95970.98,Alpha,1978-04-04,Finance
491,Edward Allen,27,Analyst,103557.73,Alpha,2015-11-22,Finance
518,John Holmes,37,Developer,143521.97,Omega,2002-07-08,Finance
526,Marissa Kaiser,48,Manager,114885.38,Alpha,1996-10-18,Finance
539,Geoffrey Miranda,36,Developer,137050.94,Project4,2005-12-25,Finance
550,Brian Peters,42,Engineer,141650.52,Beta,1988-12-23,Finance
551,Paige Morrison,43,Developer,122464.75,Beta,1971-12-19,Finance
568,Adam Sloan,43,Developer,132516.76,Alpha,1999-11-10,Finance
587,Michael Carroll,34,Developer,144207.47,Project1,1994-02-02,Finance
678,David Deleon,32,Analyst,97544.47,Project2,2013-08-18,Finance
691,April Ferrell,56,Developer,123644.75,Delta,1973-06-09,Finance
708,Lisa Foster,31,Consultant,103112.16,Project4,1992-02-16,Finance
714,Michael Grant,43,Engineer,127657.53,Alpha,2003-09-05,Finance
716,Alison Carr,59,Consultant,93287.43,Project5,2021-02-26,Finance
722,Robert Roy,50,Consultant,149413.78,Project4,2011-06-04,Finance
732,Hannah Wallace,31,Engineer,129813.83,Alpha,2015-06-07,Finance
748,Melissa Richard,38,Manager,98397.27,Gamma,2022-04-01,Finance
762,Roger Murphy,38,Analyst,140181.76,Omega,2012-12-31,Finance
770,Curtis Wright,58,Manager,103204.28,Project4,1980-04-11,Finance
774,Justin Livingston,30,Analyst,135851.85,Project5,2008-09-26,Finance
776,James Rodriguez,48,Developer,96037.1,Project1,2013-01-13,Finance
787,Sabrina Blair,41,Engineer,132430.71,Alpha,2017-11-26,Finance
807,Andrew Colon,50,Manager,131468.74,Project1,1970-04-07,Finance
810,Michelle Romero,25,Engineer,102241.52,Project4,1983-03-24,Finance
820,Ryan Shelton,59,Consultant,113498.27,Gamma,2012-01-18,Finance
830,Katelyn Spence,40,Consultant,128735.51,Project4,2008-10-31,Finance
840,Jennifer Walters,27,Analyst,129326.58,Gamma,1983-03-25,Finance
841,Michael Lester,53,Developer,109177.14,Project3,1973-08-13,Finance
862,Ralph Waller,56,Manager,124742.7,Project2,1978-01-13,Finance
864,Bryan Lucero,25,Analyst,139253.49,Project1,1974-08-31,Finance
873,Steven Cantrell,34,Analyst,127787.49,Project3,2021-07-26,Finance
878,Oscar Sanders,51,Developer,128052.51,Delta,1988-02-03,Finance
890,Thomas Smith,59,Consultant,97063.25,Alpha,2005-11-25,Finance
892,Joseph Gonzalez,36,Analyst,94213.38,Project4,2020-05-29,Finance
895,Lori Lucas,48,Engineer,146141.87,Project2,1981-10-23,Finance
909,Antonio Harvey,60,Developer,130775.29,Project6,1986-04-10,Finance
911,Robert Williams,56,Consultant,96571.18,Project1,1972-03-03,Finance
922,Margaret Moore,35,Analyst,119609.39,Project6,1981-12-17,Finance
924,Tara Taylor,47,Developer,146284.05,Project6,2013-05-09,Finance
927,Robert Wilson DVM,22,Analyst,108770.85,Project2,1999-04-21,Finance
933,Lauren Black,58,Analyst,110883.97,Project1,1987-02-11,Finance
