emp_id,name,salary,department,rank
722,Robert Roy,149413.78,Finance,1
959,Edward Simpson,147764.44,Finance,2
113,Robert Salazar,147726.76,Finance,3
128,Cynthia Palmer,147136.81,Finance,4
120,Louis Parker,146528.33,Finance,5
924,Tara Taylor,146284.05,Finance,6
895,Lori Lucas,146141.87,Finance,7
355,Gina Ramos,145744.75,Finance,8
474,Dana Warner,144776.87,Finance,9
276,Jessica Gonzalez,144279.29,Finance,10
587,Michael Carroll,144207.47,Finance,11
518,John Holmes,143521.97,Finance,12
22,Michael Garcia,143090.07,Finance,13
58,Kristin James,142434.22,Finance,14
472,Hunter Jones,142097.83,Finance,15
993,Paul Berry,141969.9,Finance,16
550,Brian Peters,141650.52,Finance,17
762,Roger Murphy,140181.76,Finance,18
864,Bryan Lucero,139253.49,Finance,19
449,Jessica Lee,138974.29,Finance,20
539,Geoffrey Miranda,137050.94,Finance,21
774,Justin Livingston,135851.85,Finance,22
187,Allison Gonzales,135039.48,Finance,23
122,John Diaz,132962.99,Finance,24
378,Teresa Manning,132782.96,Finance,25
568,Adam Sloan,132516.76,Finance,26
787,Sabrina Blair,132430.71,Finance,27
807,Andrew Colon,131468.74,Finance,28
150,Jessica Padilla,131248.96,Finance,29
181,Courtney Bailey,131183.38,Finance,30
909,Antonio Harvey,130775.29,Finance,31
732,Hannah Wallace,129813.83,Finance,32
140,Bonnie Mcintosh,129760.07,Finance,33
31,Holly Contreras,129355.47,Finance,34
840,Jennifer Walters,129326.58,Finance,35
830,Katelyn Spence,128735.51,Finance,36
878,Oscar Sanders,128052.51,Finance,37
873,Steven Cantrell,127787.49,Finance,38
714,Michael Grant,127657.53,Finance,39
447,Elizabeth Gardner,126782.95,Finance,40
68,Susan Harris,126322.27,Finance,41
862,Ralph Waller,124742.7,Finance,42
184,Jennifer Nguyen,124135.74,Finance,43
691,April Ferrell,123644.75,Finance,44
480,William Novak,123109.57,Finance,45
551,Paige Morrison,122464.75,Finance,46
956,William Jones,120729.74,Finance,47
135,Cheryl Jarvis,120078.81,Finance,48
448,Katie Lewis,119988.77,Finance,49
73,Jeffery Woods,119642.46,Finance,50
968,Andrea Fischer,119640.81,Finance,51
922,Margaret Moore,119609.39,Finance,52
201,David Hernandez,119379.77,Finance,53
349,Brandi Martin,119188.42,Finance,54
180,Andrew Morales,118997.59,Finance,55
464,Jerry Gonzalez,118925.22,Finance,56
251,Kathleen Woodard,118760.72,Finance,57
275,Sara Douglas,116806.39,Finance,58
125,Emily Shaw,116383.3,Finance,59
361,Michael Hall,115489.38,Finance,60
955,Mark Fernandez,115431.81,Finance,61
402,Danielle Allen,115228.26,Finance,62
526,Marissa Kaiser,114885.38,Finance,63
962,Krista Hampton,114054.39,Finance,64
387,Sandra Walker,113925.79,Finance,65
820,Ryan Shelton,113498.27,Finance,66
204,Dawn Hansen,113337.49,Finance,67
279,Francisco Cook,111625.76,Finance,68
105,Rebecca Williams,110967.62,Finance,69
933,Lauren Black,110883.97,Finance,70
250,Harold Andrews,109614.99,Finance,71
326,Mercedes Olson,109463.38,Finance,72
841,Michael Lester,109177.14,Finance,73
444,Anita Nicholson,108787.91,Finance,74
927,Robert Wilson DVM,108770.85,Finance,75
423,Paula Spears,107482.48,Finance,76
101,Timothy Wilson,105615.82,Finance,77
468,James Crosby,104978.78,Finance,78
479,Edwin Ramirez,104207.6,Finance,79
491,Edward Allen,103557.73,Finance,80
186,Charles Garza,103555.68,Finance,81
770,Curtis Wright,103204.28,Finance,82
708,Lisa Foster,103112.16,Finance,83
200,Jared Sanders,102471.35,Finance,84
810,Michelle Romero,102241.52,Finance,85
320,Lisa Meyer,101191.27,Finance,86
408,Cynthia Pugh,99886.03,Finance,87
425,Kenneth Patrick,99700.69,Finance,88
289,Roberto Henry PhD,98883.28,Finance,89
748,Melissa Richard,98397.27,Finance,90
203,Donna Gomez,97989.06,Finance,91
678,David Deleon,97544.47,Finance,92
890,Thomas Smith,97063.25,Finance,93
911,Robert Williams,96571.18,Finance,94
776,James Rodriguez,96037.1,Finance,95
490,Gregory Green,95970.98,Finance,96
241,Gloria Pugh,95744.46,Finance,97
892,Joseph Gonzalez,94213.38,Finance,98
716,Alison Carr,93287.43,Finance,99
61,Shawn Bennett,92629.56,Finance,100
347,Roger Roberson,92388.82,Finance,101
690,Nancy Gomez,91618.46,Finance,102
975,David Whitehead,91613.38,Finance,103
315,Robert Wolf,91443.66,Finance,104
398,Sabrina Schneider,91125.93,Finance,105
713,John Johnson,89173.8,Finance,106
383,Tina Anderson,88806.81,Finance,107
486,Jermaine Freeman,88561.37,Finance,108
663,Mrs. Katie Hodges,88053.73,Finance,109
267,Kristie Wilson,87937.41,Finance,110
800,Emily Willis,86448.57,Finance,111
696,Barbara Smith,85955.77,Finance,112
121,Alyssa Williams,85892.53,Finance,113
556,Emma Whitaker,85889.52,Finance,114
270,Jasmine Travis,85354.83,Finance,115
709,Vicki Velasquez,85165.36,Finance,116
97,Amber Snyder,84684.86,Finance,117
